,st,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
0,Christian Bale,Christian Bale,1/30/74,"Haverfordwest, Pembrokeshire, Wales, UK","['The Dark Knight', 'Batman Begins', 'American Hustle', 'Vice']",75,114,https://www.imdb.com/name/nm0000288/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000288/awards?ref_=nm_ql_2
1,Robert Downey Jr.,Robert Downey Jr.,4/4/65,"Manhattan, New York City, New York, USA","['Iron Man', 'Sherlock Holmes', 'Iron Man Three', 'The Avengers']",37,106,https://www.imdb.com/name/nm0000375/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000375/awards?ref_=nm_ql_2
2,Edward Norton(I),Edward Norton,8/18/69,"Boston, Massachusetts, USA","['Keeping the Faith', 'American History X', 'Primal Fear', 'Birdman or (The Unexpected Virtue of Ignorance)']",46,81,https://www.imdb.com/name/nm0001570/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001570/awards?ref_=nm_ql_2
3,Kristen Stewart(I),Kristen Stewart,4/9/90,"Los Angeles, California, USA","['Snow White and the Huntsman', 'The Twilight Saga: Breaking Dawn - Part 2', 'The Twilight Saga: Breaking Dawn - Part 1', 'The Twilight Saga: New Moon']",48,67,https://www.imdb.com/name/nm0829576/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0829576/awards?ref_=nm_ql_2
4,Meryl Streep,Meryl Streep,6/22/49,"Summit, New Jersey, USA","['Out of Africa', 'The Devil Wears Prada', 'Doubt', ""Sophie's Choice""]",175,357,https://www.imdb.com/name/nm0000658/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000658/awards?ref_=nm_ql_2
5,America Ferrera,America Ferrera,4/18/84,"Los Angeles, California, USA","['The Sisterhood of the Traveling Pants', 'How to Train Your Dragon', 'Ugly Betty', 'How to Train Your Dragon 2']",22,38,https://www.imdb.com/name/nm1065229/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1065229/awards?ref_=nm_ql_2
6,Ron Perlman(I),Ron Perlman,4/13/50,"New York City, New York, USA","['Hand of God', 'Hellboy II: The Golden Army', 'Hellboy', 'Beauty and the Beast']",8,11,https://www.imdb.com/name/nm0000579/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000579/awards?ref_=nm_ql_2
7,Seth Rogen,Seth Rogen,4/15/82,"Vancouver, British Columbia, Canada","['This Is the End', 'Superbad', 'Pineapple Express', 'Knocked Up']",12,34,https://www.imdb.com/name/nm0736622/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0736622/awards?ref_=nm_ql_2
8,Ben Stiller,Ben Stiller,11/30/65,"New York City, New York, USA","['Tropic Thunder', 'Zoolander', 'The Secret Life of Walter Mitty', ""There's Something About Mary""]",14,58,https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001774/awards?ref_=nm_ql_2
9,Adam Sandler(I),Adam Sandler,9/9/66,"Brooklyn, New York City, New York, USA","['The Waterboy', 'Little Nicky', 'Big Daddy', 'The Wedding Singer']",54,77,https://www.imdb.com/name/nm0001191/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001191/awards?ref_=nm_ql_2
10,Kristen Bell(I),Kristen Bell,7/18/80,"Huntington Woods, Michigan, USA","['Frozen', 'Veronica Mars', 'Forgetting Sarah Marshall', 'Veronica Mars']",12,41,https://www.imdb.com/name/nm0068338/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0068338/awards?ref_=nm_ql_2
11,Brad Pitt,Brad Pitt,12/18/63,"Shawnee, Oklahoma, USA","['Mr. & Mrs. Smith', 'Moneyball', 'Twelve Monkeys', 'Inglourious Basterds']",67,152,https://www.imdb.com/name/nm0000093/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000093/awards?ref_=nm_ql_2
12,Angelina Jolie,Angelina Jolie,6/4/75,"Los Angeles, California, USA","['Maleficent', 'Girl, Interrupted', 'Changeling', 'Salt']",56,111,https://www.imdb.com/name/nm0001401/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001401/awards?ref_=nm_ql_2
13,Asa Butterfield,Asa Butterfield,4/1/97,"Islington, London, England, UK","['Hugo', ""Ender's Game"", 'The Boy in the Striped Pajamas', 'The Space Between Us']",5,17,https://www.imdb.com/name/nm2633535/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2633535/awards?ref_=nm_ql_2
14,Morjana Alaoui,Morjana Alaoui,1983-0-0,NA,"['Martyrs', 'Broken', 'Forces spéciales', 'Marock']",1,0,https://www.imdb.com/name/nm1662011/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1662011/awards?ref_=nm_ql_2
15,Daniel Craig(I),Daniel Craig,3/2/68,"Chester, Cheshire, England, UK","['Casino Royale', 'Skyfall', 'Spectre', 'Quantum of Solace']",14,31,https://www.imdb.com/name/nm0185819/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0185819/awards?ref_=nm_ql_2
16,Kate Winslet,Kate Winslet,10/5/75,"Reading, Berkshire, England, UK","['Eternal Sunshine of the Spotless Mind', 'Titanic', 'Revolutionary Road', 'Sense and Sensibility']",87,155,https://www.imdb.com/name/nm0000701/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000701/awards?ref_=nm_ql_2
17,Jeremy Renner,Jeremy Renner,1/7/71,"Modesto, California, USA","['The Hurt Locker', 'The Town', 'The Avengers', 'Wind River']",34,59,https://www.imdb.com/name/nm0719637/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0719637/awards?ref_=nm_ql_2
18,Clint Eastwood,Clint Eastwood,5/31/30,"San Francisco, California, USA","['Million Dollar Baby', 'Unforgiven', 'Gran Torino', 'The Bridges of Madison County']",149,159,https://www.imdb.com/name/nm0000142/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000142/awards?ref_=nm_ql_2
19,Dev Patel(I),Dev Patel,4/23/90,"Harrow, London, England, UK","['Slumdog Millionaire', 'Lion', 'Chappie', 'The Last Airbender']",19,39,https://www.imdb.com/name/nm2353862/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2353862/awards?ref_=nm_ql_2
20,Colin Farrell(I),Colin Farrell,5/31/76,"Castleknock, Dublin, Ireland","['The Lobster', 'In Bruges', 'S.W.A.T.', 'Seven Psychopaths']",15,58,https://www.imdb.com/name/nm0268199/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0268199/awards?ref_=nm_ql_2
21,Leonardo DiCaprio,Leonardo DiCaprio,11/11/74,"Hollywood, Los Angeles, California, USA","['Inception', 'The Departed', 'The Wolf of Wall Street', 'Titanic']",98,209,https://www.imdb.com/name/nm0000138/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000138/awards?ref_=nm_ql_2
22,Liam Neeson,Liam Neeson,6/7/52,"Ballymena, Co. Antrim, Northern Ireland, UK","['Kinsey', ""Schindler's List"", 'The Grey', 'The A-Team']",22,42,https://www.imdb.com/name/nm0000553/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000553/awards?ref_=nm_ql_2
23,Will Ferrell(I),Will Ferrell,7/16/67,"Irvine, California, USA","['Talladega Nights: The Ballad of Ricky Bobby', 'Anchorman 2: The Legend Continues', 'Anchorman: The Legend of Ron Burgundy', 'Blades of Glory']",12,75,https://www.imdb.com/name/nm0002071/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0002071/awards?ref_=nm_ql_2
24,Ben Burtt,Ben Burtt,7/12/48,"Jamesville, New York, USA","['WALL·E', 'Star Wars: Episode IV - A New Hope', 'Star Wars: Episode I - The Phantom Menace', 'Super 8']",18,45,https://www.imdb.com/name/nm0123785/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0123785/awards?ref_=nm_ql_2
25,Natalie Portman,Natalie Portman,6/9/81,"Jerusalem, Israel","['Black Swan', 'V for Vendetta', 'Closer', 'Léon: The Professional']",86,132,https://www.imdb.com/name/nm0000204/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000204/awards?ref_=nm_ql_2
26,Josh Zuckerman(I),Josh Zuckerman,4/1/85,"Stanford, California, USA","['Austin Powers in Goldmember', 'Sex Drive', 'Feast', 'Surviving Christmas']",0,2,https://www.imdb.com/name/nm0958430/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0958430/awards?ref_=nm_ql_2
27,Freddie Highmore,Freddie Highmore,2/14/92,"Camden Town, London, England, UK","['Finding Neverland', 'Charlie and the Chocolate Factory', 'The Art of Getting By', 'Bates Motel']",13,31,https://www.imdb.com/name/nm0383603/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0383603/awards?ref_=nm_ql_2
28,Scott Speedman,Scott Speedman,9/1/75,"London, England, UK","['Underworld', 'The Strangers', 'Underworld: Evolution', 'Barefoot']",2,9,https://www.imdb.com/name/nm0005454/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005454/awards?ref_=nm_ql_2
29,Brendan Fraser,Brendan Fraser,12/3/68,"Indianapolis, Indiana, USA","['The Mummy', 'Crash', 'The Mummy Returns', 'The Mummy: Tomb of the Dragon Emperor']",8,11,https://www.imdb.com/name/nm0000409/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000409/awards?ref_=nm_ql_2
30,Camilla Belle,Camilla Belle,10/2/86,"Los Angeles, California, USA","['Practical Magic', 'When a Stranger Calls', 'Push', 'The Lost World: Jurassic Park']",0,5,https://www.imdb.com/name/nm0004741/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0004741/awards?ref_=nm_ql_2
31,Rebecca Hall(I),Rebecca Hall,5/3/82,"London, England, UK","['Vicky Cristina Barcelona', 'The Town', 'The Prestige', 'Christine']",11,28,https://www.imdb.com/name/nm0356017/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0356017/awards?ref_=nm_ql_2
,Will Smith(I),Will Smith,9/25/68,"Philadelphia, Pennsylvania, USA","['The Fresh Prince of Bel-Air', 'I Am Legend', 'Men in Black', 'Wild Wild West']",63,129,https://www.imdb.com/name/nm0000226/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000226/awards?ref_=nm_ql_2
0,Gerard Butler(I),Gerard Butler,11/13/69,"Paisley, Scotland, UK","['The Phantom of the Opera', '300', 'Law Abiding Citizen', 'The Bounty Hunter']",4,15,https://www.imdb.com/name/nm0124930/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0124930/awards?ref_=nm_ql_2
1,Harrison Ford(I),Harrison Ford,7/13/42,"Chicago, Illinois, USA","['Raiders of the Lost Ark', 'The Fugitive', 'Witness', 'Air Force One']",41,40,https://www.imdb.com/name/nm0000148/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000148/awards?ref_=nm_ql_2
2,Sylvester Stallone,Sylvester Stallone,7/6/46,"New York City, New York, USA","['Rocky', 'Rocky IV', 'Creed', 'Rocky III']",57,66,https://www.imdb.com/name/nm0000230/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000230/awards?ref_=nm_ql_2
3,Mickey Rourke,Mickey Rourke,9/16/52,"Schenectady, New York, USA","['The Wrestler', 'Sin City', 'Angel Heart', 'Iron Man 2']",38,38,https://www.imdb.com/name/nm0000620/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000620/awards?ref_=nm_ql_2
